Amount,Transaction Type,Category
2029.39,credit,Credit Card Payment
1.6,debit,Hobbies
30,debit,Pharmacy
2.92,debit,Coffee Shops
20,debit,Doctor
43.47,debit,Mobile Phone
3.06,debit,Coffee Shops
9.56,debit,Coffee Shops
64.99,debit,Credit Card Payment
270,credit,Freelance
2.79,debit,Fast Food
35.66,debit,Groceries
1.9,debit,Coffee Shops
2.17,debit,Coffee Shops
11.76,debit,Groceries
25.67,debit,Electronics & Software
2.92,debit,Coffee Shops
41.72,debit,Groceries
2.92,debit,Coffee Shops
64.99,credit,Credit Card Payment
9.92,debit,Coffee Shops
99.2,debit,Restaurants
40,debit,Hair
21.59,debit,Gas & Fuel
2.1,debit,Gas & Fuel
24.14,debit,Coffee Shops
58.83,debit,Restaurants
253.98,debit,Air Travel
24,debit,Utilities
23.4,debit,Groceries
425,debit,Rent
49.72,debit,Groceries
